player_name,psi_log_avg,psi_log_sr,psi_combined,rank
DM de Silva,0.3255405108153668,0.06708484577513785,0.2393886224686238,299
DJ Bravo,0.3170380892942327,0.08157185180463669,0.23854934346436737,300
SC Ganguly,0.32597032166995527,0.06206090201794026,0.23800051511928358,301
G Kirsten,0.3511435620427551,0.007738615838598133,0.23667524664136944,302
M van Lingen,0.2858095520199806,0.1376309840661449,0.23641669603536872,303
AR Cusack,0.30757454513017884,0.09307158871554404,0.23607355965863389,304
RR Hendricks,0.29508390926424605,0.11651838747501544,0.23556206866783583,305
KMA Paul,0.3050893514307292,0.09416871967300695,0.23478247417815512,306
CG Williams,0.3178480610777693,0.06794370618891256,0.2345466094481504,307
HH Dippenaar,0.35628233613927107,-0.009280138127497289,0.2344281780503483,308
ND McKenzie,0.35436724085155874,-0.007732892482941434,0.23366719640672537,309
BKG Mendis,0.2977112477120675,0.10280885800519292,0.23274378447644262,310
BRM Taylor,0.3033709010984492,0.08966304973879635,0.2321349506452316,311
V Aravind,0.32782671481609726,0.03957735865602075,0.23174359609607176,312
Salman Butt,0.32543714967735354,0.04206247188704264,0.2309789237472499,313
Nasir Hossain,0.3128831988609457,0.0667233572507786,0.2308299183242233,314
LE Bosman,0.22864331074283673,0.23170090868547843,0.22966251005705063,315
JL Langer,0.2742490431906525,0.1375977822899299,0.22869862289041165,316
Aaron Jones,0.31451609286827364,0.05631139640690039,0.22844786071448256,317
SD Hope,0.32979935449216086,0.024533228918270936,0.2280439793008642,318
J Botha,0.3031395189237163,0.07778673088727446,0.22802192291156906,319
ME Trescothick,0.2854103668263075,0.11229134525274051,0.22770402630178518,320
T Munyonga,0.3037302994157163,0.07529895656604964,0.22758651846582742,321
KNA Bandara,0.330189678867727,0.02077758873453632,0.22705231548999674,322
Tanwir Afzal,0.20850146956997034,0.25998005778778654,0.22566099897590908,323
NS Dhaliwal,0.3268515357593972,0.021308400284721994,0.22500382393450546,324
Pargat Singh,0.29369945328579533,0.08752616639521146,0.22497502432226738,325
DS Airee,0.271900423939059,0.12699773837769687,0.2235995287519383,326
TT Bresnan,0.291864896667331,0.0862922037327522,0.22334066568913805,327
BM Duckett,0.2152255540430268,0.23911855652160524,0.22318988820255292,328
SF Mire,0.2960302042768248,0.07708155286097673,0.2230473204715421,329
MJ Potts,0.33669828358729587,-0.0057503754461903835,0.22254873057613378,330
JG Bethell,0.27798654181975613,0.10990573088915595,0.22195960484288943,331
AC Agar,0.30349310447093447,0.05827962817288161,0.22175527903825018,332
Mashrafe Mortaza,0.19098596457862768,0.28147491242066336,0.22114894719263956,333
Saim Ayub,0.275801208774104,0.11052155986076041,0.22070799246965614,334
DL Houghton,0.3126593785653244,0.03474826244671376,0.22002233985912087,335
Zeeshan Maqsood,0.305214435207442,0.047795679470811606,0.2194081832952319,336
AK Sah,0.2562838293644887,0.14279951552388948,0.21845572475095562,337
JAD Lawrenson,0.31150298222507183,0.03194459627669563,0.21831685357561312,338
A Nao,0.23923574579895918,0.17587768576265994,0.2181163924535261,339
CA Soper,0.36557561375043907,-0.07701765161445458,0.2180445252954745,340
MW Goodwin,0.3143284004664517,0.025234753155580353,0.21796385136282792,341
BR McDermott,0.300958717853164,0.049918979348281,0.21727880501820304,342
S Dhawan,0.25726810151373575,0.13592465970626705,0.21682028757791283,343
A Vala,0.3019616666257193,0.04561207970749432,0.21651180431964434,344
Zulfiqar Babar,0.21550955506984681,0.21687696254069175,0.21596535756012847,345
D Brevis,0.18802555484954947,0.27114943272671754,0.21573351414193884,346
TK Curran,0.2751855555170069,0.09498425075287563,0.21511845392896314,347
Haseeb Amjad,0.20582326603442122,0.23000897391594516,0.21388516866159588,348
DP Conway,0.29575602658675737,0.04684710282268425,0.2127863853320663,349
Rishad Hossain,0.15441518176317867,0.329445008091282,0.2127584572058798,350
GP Thorpe,0.31114916283813715,0.015346476295872732,0.212548267324049,351
D Pretorius,0.22785368113638418,0.18047435375277135,0.21206057200851325,352
T Bavuma,0.296556738803369,0.04273052486641575,0.21194800082438459,353
AR Patel,0.25831129427636795,0.11787486033935113,0.2114991496306957,354
MDKJ Perera,0.22740131778631167,0.17791561250181137,0.21090608269147823,355
Z Crawley,0.20221253214996773,0.2271968133297102,0.21054062587654854,356
Rahmanullah Gurbaz,0.2761181796063969,0.07837332274914484,0.21020322732064622,357
EC Joyce,0.3228822418418044,-0.01767980528666888,0.20936155946564663,358
SV Manjrekar,0.3376586659542987,-0.049019497550206535,0.2087659447861303,359
