player_name,psi_log_econ,psi_log_avg,psi_combined,rank
FA Rose,0.03931665906338242,0.010343001540012796,-0.020000887381136003,490
ST Gabriel,0.028099700766357618,0.016136724563029985,-0.02012438329747253,491
R Ravindra,-0.024008955833839534,0.04250294080511757,-0.020332308592131868,492
Ebadot Hossain,-0.0015373758672326992,0.03132991741403406,-0.020374152986945143,493
WD Parnell,0.12601064792295574,-0.03185171332775935,-0.020769073755812346,494
Enamul Haque jnr,-0.012610052396490788,0.037961659049946486,-0.021104421901134058,495
CPH Ramanayake,-0.002612096336812069,0.03318809088975104,-0.021254695147563337,496
JEC Franklin,0.08151916089617911,-0.008846527772100881,-0.021275368450659114,497
Yasir Shah,-0.010352590094881002,0.03714288420468624,-0.02131105943816383,498
MM Ali,0.0008173210848323605,0.03166576362767018,-0.02138294944672424,499
D Mohammed,0.08192957463455963,-0.008535368076134524,-0.021619612827430194,500
Sikandar Raza,-0.034542590047971625,0.05008013666525138,-0.021872561094177043,501
Mohammad Wasim (1),0.12904506251421655,-0.03167352259996127,-0.02189933910476467,502
Rishad Hossain,0.06813142837722176,-0.0004177531244354891,-0.022431974042783593,503
Sompal Kami,0.03264175331034547,0.017412070462912203,-0.022488631412056623,504
SB Doull,0.024884006253124716,0.02129294466502592,-0.022489965194392187,505
AAP Atkinson,0.10080851179193454,-0.01661186783186314,-0.022528258709402754,506
DM de Silva,-0.03372182298187092,0.050986153358473715,-0.0227501612450255,507
SJ Harmison,0.025488721798597447,0.022512387415139258,-0.023504498876291986,508
AB Agarkar,0.01775658547712723,0.026466652660890412,-0.023563296932969352,509
JH Kallis,0.0016913520993404323,0.03468037294037397,-0.023684032660029455,510
Ali Naseer,0.10409048726046738,-0.01619181216814222,-0.02390228764139431,511
Sohail Tanvir,-0.004859478619667662,0.03846431302844679,-0.02402304914574197,512
RK Chauhan,-0.049581789048425064,0.06093652845513556,-0.02409708928728202,513
MR Marsh,0.02535574081096529,0.023621356846748445,-0.024199484834820723,514
HH Pandya,0.025723380025095055,0.023810219509481544,-0.024447939681352716,515
PJW Allott,-0.04716981525857485,0.060306188537153534,-0.024480853938577407,516
RMS Eranga,0.05414815966488354,0.010080025947778475,-0.02476940385348016,517
MD Shanaka,0.046881889379896804,0.01403338727085635,-0.024982887973869838,518
JR Ratnayeke,0.03663274624681533,0.019483757568744,-0.025200087128101113,519
R Vinay Kumar,0.03007615956107802,0.022810307137261506,-0.025232257945200343,520
LB Williams,0.061247673742143224,0.007356580905484249,-0.02532027851770391,521
SW Masakadza,0.06223654142317769,0.007784521131684005,-0.025935194562181896,522
GRJ Matthews,-0.023109291592241225,0.050597265565250876,-0.026028413179420173,523
D Bishoo,-0.033243699679068324,0.05568398796238653,-0.02604142541523491,524
AC Evans,0.06382286622468684,0.007470555832497066,-0.026254659296560328,525
RJ Ratnayake,0.017996213087530456,0.03077115260324464,-0.026512839431339915,526
IS Sodhi,0.022379922890413077,0.02884524243596699,-0.026690135920782353,527
A Kuruvilla,-0.028165024945618566,0.05489513731851532,-0.027208416563804027,528
MG Bevan,0.13361878037283653,-0.025734893994130082,-0.02738299746152546,529
J Jarvis,0.09166744739775308,-0.004024980776655737,-0.027872495281480534,530
Kaleemullah,-0.06395925677031539,0.07402119513163591,-0.02802771116431881,531
HMCM Bandara,0.06156245498600138,0.011570317327465654,-0.02823436321364423,532
AD Mathews,-0.09961701265038023,0.09257659922651981,-0.0285120619342198,533
Aftab Alam,0.02347516560425554,0.0314907667129489,-0.028818899676717778,534
CN Ackermann,-0.029557440514960065,0.05825779360942797,-0.028986048901298623,535
PW Jarvis,0.014429805881263833,0.036537777235934515,-0.029168453451044286,536
MG Bracewell,-0.006135657354879866,0.046950787803713964,-0.029255306084182687,537
SS Cottrell,0.06246237969793863,0.013532900776429128,-0.02984272708359896,538
UT Yadav,0.07317307298186211,0.008443487370433852,-0.030020015907576605,539
W Madhevere,-0.08529145387552209,0.08910339681054977,-0.030971779915192482,540
D Madushanka,0.09439188367770218,-0.00022456545223505054,-0.031314250924410696,541
JN Maguire,-0.02677281173468882,0.06079314860476757,-0.031604495158282106,542
DH Brain,0.06145268800866406,0.016780855030536106,-0.03167146602324542,543
P Utseya,-0.06760432712506087,0.08172998112653428,-0.03195187837600256,544
DS de Silva,-0.043322828058800104,0.07034015802646587,-0.032452495998043875,545
Fazalhaq Farooqi,0.08497159258160827,0.006242333571016665,-0.032485419907880536,546
KTGD Prasad,0.12348067224959695,-0.012761392566358196,-0.032652629038960185,547
DBL Powell,-0.013418431647091004,0.05618676318669365,-0.032985031575432096,548
ME Waugh,0.04231800241391298,0.028426243327896828,-0.03305682968990221,549
Naveen-ul-Haq,0.14845176919046663,-0.024501155856933375,-0.033149819158866625,550
SM Sharif,0.08578087478285698,0.007253520590354055,-0.03342930532118837,551
Imad Wasim,-0.011416470113478601,0.05597070686402787,-0.033508314538192384,552
JJC Lawson,0.10539603494744988,-0.0011504711471618206,-0.03436503088437542,553
SN Thakur,0.09736101440746674,0.003032719086186388,-0.03447548419327984,554
CO Obuya,0.05623147095868424,0.023981779818606178,-0.03473167686529887,555
Z Khan,0.021347109574200263,0.04158334320511375,-0.03483793199480925,556
UDU Chandana,0.02905844805110679,0.037834592925074864,-0.03490921130041884,557
NL McCullum,0.0032647375328177493,0.05118932046303535,-0.03521445948629615,558
AF Giles,-0.04033238926407567,0.07306222533308544,-0.03526402046736507,559
LV van Beek,0.06560224139783563,0.022150607153834354,-0.03663448523516811,560
HK Bennett,0.05130691092560277,0.030629712523211686,-0.03752211199067538,561
Nahid Rana,0.045174761851191195,0.03384090470933312,-0.037618857089952475,562
Mohammad Rafique,-0.04172764192410525,0.07736741420075335,-0.03766906215913382,563
IG Butler,0.07251854783300635,0.020320830961144155,-0.037720069918431555,564
MJ Hoggard,0.04027451231897584,0.03660410376136417,-0.037827573280568065,565
BFW de Leede,0.12697718964887816,-0.006003300765308608,-0.03832352937275365,566
